Id;PageRank;Modularity Class
EUA;0.13762179754132897;2
Brasil;0.13000597469727138;2
China;0.08909046654424504;2
India;0.06111064482504489;1
Russia;0.05236425548732128;1
Argentina;0.04992683838395679;1
Alemanha;0.04957192080368076;2
Japao;0.04482319685233916;2
Mexico;0.040084235377263945;1
Canada;0.03905068552622659;1
Franca;0.037119443108987946;2
Italia;0.0363270653777265;2
Reino_Unido;0.0356784866611618;2
Indonesia;0.026322860716718445;1
Uniao_Europeia;0.01823199997506932;2
Australia;0.014151458849856345;1
Turquia;0.012397478319061433;1
Africa_do_Sul;0.011045335930756062;1
Coreia_do_Sul;0.010103859572097341;2
Inglaterra;0.009514443483388483;2
Arabia_Saudita;0.00850104723412706;1
